,Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity
1875,11:30:00,Wednesday,31-50,Male,Junior high school,unknown,Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,Moving Backward,Slight
1876,18:45:00,Saturday,31-50,Male,Junior high school,"(1, 2)",Automobile,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,No distancing,Slight
1877,18:45:00,Saturday,18-30,Male,High school,"(5, 10)",Automobile,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
1878,10:34:00,Sunday,31-50,Male,Junior high school,"(5, 10)",Taxi,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,No priority to pedestrian,Slight
1879,19:38:00,Monday,31-50,Male,Junior high school,"(5, 10)",Lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,No priority to vehicle,Slight
1880,18:33:00,Monday,31-50,Male,Junior high school,"(5, 10)",Other, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight
1881,18:33:00,Monday,18-30,Male,Junior high school,> 10,Automobile,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
1882,20:00:00,Monday,31-50,Male,Junior high school,"(5, 10)",Public,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,No distancing,Slight
1883,18:30:00,Wednesday,18-30,Male,Junior high school,No Licence,Stationwagen,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
1884,18:30:00,Wednesday,Unknown,Male,Above high school,< 1,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Changing lane to the left,Slight
1885,16:25:00,Tuesday,31-50,Male,Elementary school,"(5, 10)",Lorry,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Moving Backward,Slight
1886,16:25:00,Tuesday,31-50,Male,Elementary school,"(5, 10)",Other,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,No distancing,Slight
1887,17:35:00,Tuesday,18-30,Male,Junior high school,"(5, 10)",Public,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Changing lane to the right,Slight
1888,17:35:00,Tuesday,18-30,Male,High school,"(5, 10)",Other,Office areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,No priority to vehicle,Slight
1889,07:48:00,Wednesday,31-50,Male,Junior high school,"(5, 10)",Other,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Getting off the vehicle improperly,Slight
1890,07:48:00,Wednesday,18-30,Male,Junior high school,"(2, 5)",Ridden horse,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1891,15:15:00,Saturday,Unknown,Male,Writing & reading,"(5, 10)",Lorry,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,No distancing,Slight
1892,18:08:00,Saturday,18-30,Male,Junior high school,> 10,Lorry,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight
1893,18:08:00,Saturday,18-30,Male,Junior high school,"(1, 2)",Pick up upto 10Q,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,No priority to vehicle,Slight
1894,14:44:00,Friday,18-30,Male,Writing & reading,< 1,Lorry,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driving carelessly,Slight
1895,10:13:00,Friday,31-50,Male,Elementary school,"(1, 2)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,1,1,Going straight,Changing lane to the right,Slight
1896,17:30:00,Friday,18-30,Male,Junior high school,"(5, 10)",Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,No distancing,Slight
1897,17:30:00,Friday,Unknown,Female,Junior high school,"(1, 2)",Lorry,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Changing lane to the right,Slight
1898,13:30:00,Friday,31-50,Male,Elementary school,"(5, 10)",Motorcycle,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,No distancing,Slight
1899,13:30:00,Friday,31-50,Male,Junior high school,"(2, 5)",Lorry,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driving under the influence of drugs,Slight
1900,10:00:00,Thursday,18-30,Male,Junior high school,< 1,Stationwagen,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Serious
1901,10:00:00,Thursday,Unknown,Male,Writing & reading,"(5, 10)",Automobile, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Getting off the vehicle improperly,Serious
1902,08:20:00,Tuesday,31-50,Male,Writing & reading,"(5, 10)",Other,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Overloading,Slight
1903,14:05:00,Tuesday,31-50,Male,Junior high school,"(5, 10)",Other,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driving carelessly,Slight
1904,14:05:00,Tuesday,18-30,Male,Junior high school,"(2, 5)",Taxi,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Overtaking,Slight
1905,11:50:00,Tuesday,18-30,Male,Junior high school,> 10,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1906,11:50:00,Tuesday,18-30,Male,Junior high school,"(5, 10)",Long lorry, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Overturning,Slight
1907,18:59:00,Tuesday,18-30,Male,Junior high school,> 10,Long lorry,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driving carelessly,Slight
1908,18:57:00,Wednesday,18-30,Male,Junior high school,"(2, 5)",Lorry,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,No priority to pedestrian,Slight
1909,18:57:00,Wednesday,18-30,Male,Junior high school,< 1,Lorry,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1910,02:45:00,Thursday,18-30,Male,Junior high school,< 1,Lorry,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,No priority to vehicle,Slight
1911,02:45:00,Thursday,18-30,Male,Junior high school,"(5, 10)",Automobile, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Getting off the vehicle improperly,Slight
1912,02:45:00,Thursday,Unknown,Female,Junior high school,"(2, 5)",Taxi,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,No priority to pedestrian,Slight
1913,06:00:00,Sunday,18-30,Male,Elementary school,< 1,Other, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
1914,06:00:00,Sunday,31-50,Male,Junior high school,"(2, 5)",Automobile, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight
1915,17:25:00,Thursday,18-30,Male,Junior high school,"(5, 10)",Automobile,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the left,Serious
1916,11:45:00,Saturday,18-30,Male,High school,> 10,Automobile,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1917,11:45:00,Saturday,Over 51,Male,High school,> 10,Automobile,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
1918,12:43:00,Sunday,31-50,Male,Junior high school,"(5, 10)",Public,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driving under the influence of drugs,Slight
1919,12:43:00,Sunday,31-50,Male,Elementary school,"(1, 2)",Lorry,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driving carelessly,Slight
1920,12:43:00,Sunday,Unknown,Female,Elementary school,"(5, 10)",Lorry,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driving carelessly,Slight
1921,17:38:00,Thursday,31-50,Male,Junior high school,"(5, 10)",Lorry,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Changing lane to the right,Slight
1922,17:38:00,Thursday,31-50,Male,Junior high school,"(1, 2)",Stationwagen,Other,One way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1923,20:30:00,Sunday,Unknown,Male,Junior high school,"(5, 10)",Other,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driving carelessly,Slight
1924,08:05:00,Tuesday,18-30,Male,High school,> 10,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,No priority to pedestrian,Slight
1925,08:05:00,Tuesday,Unknown,Male,Junior high school,< 1,Pick up upto 10Q,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1926,17:30:00,Wednesday,Unknown,Male,Writing & reading,"(5, 10)",Motorcycle,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Moving Backward,Slight
1927,00:44:00,Saturday,18-30,Male,Above high school,> 10,Automobile,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Moving Backward,Slight
1928,16:20:00,Sunday,18-30,Male,High school,< 1,Pick up upto 10Q,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,No priority to vehicle,Slight
1929,16:20:00,Sunday,18-30,Male,Junior high school,"(1, 2)",Motorcycle, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,No distancing,Slight
1930,15:00:00,Thursday,31-50,Male,Junior high school,> 10,Stationwagen,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Moving Backward,Slight
1931,00:50:00,Saturday,31-50,Male,Junior high school,> 10,Lorry,Residential areas,One way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
1932,00:50:00,Saturday,31-50,Male,Junior high school,> 10,Taxi,Residential areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight
1933,10:15:00,Saturday,Unknown,Male,Junior high school,No Licence,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the right,Slight
1934,14:26:00,Sunday,31-50,Male,Junior high school,"(1, 2)",Long lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driving carelessly,Slight
1935,14:26:00,Sunday,18-30,Male,Illiterate,"(1, 2)",Automobile,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Changing lane to the right,Slight
1936,14:26:00,Sunday,Under 18,Male,Junior high school,< 1,Public,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Turnover,No distancing,Slight
1937,13:35:00,Monday,31-50,Male,Junior high school,"(1, 2)",Lorry,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Moving Backward,Slight
1938,13:35:00,Monday,18-30,Male,Junior high school,"(2, 5)",Pick up upto 10Q,Office areas,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Driving carelessly,Slight
1939,20:30:00,Monday,Unknown,Male,Unknown,"(5, 10)",Lorry,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,No distancing,Slight
1940,20:30:00,Monday,18-30,Male,Unknown,> 10,Other,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight
1941,11:28:00,Sunday,18-30,Male,Junior high school,"(2, 5)",Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
1942,11:28:00,Sunday,18-30,Male,Elementary school,> 10,Long lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Moving Backward,Slight
1943,13:00:00,Wednesday,Under 18,Male,Writing & reading,"(5, 10)",Lorry,Office areas,One way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driving under the influence of drugs,Serious
1944,13:00:00,Wednesday,18-30,Male,Junior high school,unknown,Long lorry,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Changing lane to the right,Serious
1945,08:15:00,Tuesday,18-30,Male,Junior high school,"(5, 10)",Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,No priority to vehicle,Serious
1946,08:15:00,Tuesday,18-30,Male,Junior high school,< 1,Taxi,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Other,Changing lane to the left,Serious
1947,07:45:00,Tuesday,18-30,Male,Junior high school,"(2, 5)",Taxi, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driving carelessly,Slight
1948,07:45:00,Tuesday,31-50,Male,Elementary school,"(2, 5)",Long lorry,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,No priority to pedestrian,Slight
1949,14:34:00,Wednesday,Unknown,Male,Junior high school,"(2, 5)",Lorry,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight
1950,14:34:00,Wednesday,18-30,Male,Junior high school,"(2, 5)",Lorry,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Changing lane to the right,Slight
1951,02:34:00,Thursday,31-50,Male,Junior high school,"(5, 10)",Long lorry,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Drunk driving,Slight
1952,02:34:00,Thursday,18-30,Male,Junior high school,"(5, 10)",Turbo,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Changing lane to the left,Slight
1953,16:59:00,Thursday,Over 51,Unknown,Junior high school,> 10,Long lorry,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Changing lane to the left,Slight
1954,16:59:00,Thursday,Over 51,Male,Elementary school,"(5, 10)",Long lorry,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driving to the left,Slight
1955,16:59:00,Thursday,Over 51,Male,Junior high school,"(5, 10)",Public,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,4,Going straight,Changing lane to the left,Slight
1956,16:59:00,Thursday,18-30,Male,Junior high school,> 10,Automobile,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,4,Reversing,Driving under the influence of drugs,Slight
1957,14:14:00,Sunday,Over 51,Male,Elementary school,unknown,Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,No priority to pedestrian,Slight
1958,18:05:00,Thursday,18-30,Unknown,Junior high school,"(5, 10)",Pick up upto 10Q,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Reversing,Changing lane to the left,Slight
1959,18:05:00,Thursday,31-50,Male,Junior high school,"(5, 10)",Automobile,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Moving Backward,Slight
1960,18:05:00,Thursday,31-50,Male,Junior high school,< 1,Stationwagen,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,No distancing,Slight
1961,17:55:00,Thursday,18-30,Male,Junior high school,unknown,Automobile,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Changing lane to the right,Slight
1962,17:55:00,Thursday,Over 51,Male,Junior high school,"(5, 10)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,No priority to vehicle,Slight
1963,18:40:00,Thursday,31-50,Male,Junior high school,"(5, 10)",Automobile,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Moving Backward,Slight
1964,18:40:00,Thursday,Unknown,Male,Junior high school,> 10,Long lorry,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Overtaking,Slight
1965,01:11:00,Tuesday,18-30,Male,High school,> 10,Public,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Changing lane to the left,Slight
1966,01:11:00,Tuesday,31-50,Male,Junior high school,> 10,Public,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Changing lane to the right,Slight
1967,09:20:00,Friday,31-50,Male,Junior high school,> 10,Lorry,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Overtaking,Slight
1968,09:20:00,Friday,31-50,Male,Junior high school,> 10,Lorry,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Overloading,Slight
1969,13:36:00,Tuesday,Under 18,Male,Junior high school,> 10,Pick up upto 10Q,  Recreational areas,Undivided Two way,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Other,Slight
1970,13:36:00,Tuesday,Under 18,Male,Junior high school,"(5, 10)",Automobile,Other,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,No priority to vehicle,Slight
1971,13:36:00,Tuesday,Under 18,Male,Junior high school,"(2, 5)",Automobile,Residential areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the right,Slight
1972,16:56:00,Wednesday,Over 51,Male,Junior high school,< 1,Automobile,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Moving Backward,Serious
1973,16:56:00,Wednesday,31-50,Male,Junior high school,< 1,Long lorry,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Serious
1974,00:21:00,Wednesday,18-30,Male,Junior high school,"(2, 5)",Long lorry,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight
1975,00:21:00,Wednesday,31-50,Male,Elementary school,< 1,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1976,11:30:00,Wednesday,Over 51,Unknown,Junior high school,< 1,Stationwagen,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,No priority to vehicle,Slight
1977,20:23:00,Thursday,Over 51,Male,Junior high school,unknown,Automobile,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1978,20:23:00,Thursday,18-30,Male,Junior high school,"(5, 10)",Other,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
1979,21:20:00,Thursday,Over 51,Unknown,Writing & reading,< 1,Special vehicle,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Moving Backward,Serious
1980,17:08:00,Tuesday,Under 18,Male,Junior high school,< 1,Lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Changing lane to the right,Slight
1981,17:08:00,Tuesday,Unknown,Female,Junior high school,"(1, 2)",Pick up upto 10Q,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight
1982,20:02:00,Saturday,31-50,Male,Elementary school,> 10,Lorry,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Slight
1983,20:02:00,Saturday,Over 51,Male,Elementary school,> 10,Lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Getting off the vehicle improperly,Slight
